"product_type_id","is_departure","prior_ttl_bucket","prior_delay_bucket","latest_sample_delay_bucket","sample_count"
1,False,"[5,10)","[0,1)","[7,8)",613
1,False,"[5,10)","[0,1)","[8,9)",315
1,False,"[5,10)","[0,1)","[9,10)",259
1,False,"[5,10)","[0,1)","[10,11)",190
1,False,"[5,10)","[0,1)","[11,16)",488
1,False,"[5,10)","[0,1)","[16,21)",208
1,False,"[5,10)","[0,1)","[21,26)",82
1,False,"[5,10)","[0,1)","[26,31)",102
1,False,"[5,10)","[0,1)","[31,46)",108
1,False,"[5,10)","[0,1)","[46,61)",136
1,False,"[5,10)","[0,1)","[61,76)",34
1,False,"[5,10)","[0,1)","[76,91)",14
1,False,"[5,10)","[0,1)","[91,)",123
1,False,"[5,10)","[0,1)",NULL,147
1,False,"[10,15)","[0,1)","[0,1)",316330
1,False,"[10,15)","[0,1)","[1,2)",42293
1,False,"[10,15)","[0,1)","[2,3)",15004
1,False,"[10,15)","[0,1)","[3,4)",14501
1,False,"[10,15)","[0,1)","[4,5)",6709
1,False,"[10,15)","[0,1)","[5,6)",2724
1,False,"[10,15)","[0,1)","[6,7)",1523
1,False,"[10,15)","[0,1)","[7,8)",961
1,False,"[10,15)","[0,1)","[8,9)",528
1,False,"[10,15)","[0,1)","[9,10)",389
1,False,"[10,15)","[0,1)","[10,11)",279
1,False,"[10,15)","[0,1)","[11,16)",690
1,False,"[10,15)","[0,1)","[16,21)",296
1,False,"[10,15)","[0,1)","[21,26)",100
1,False,"[10,15)","[0,1)","[26,31)",102
1,False,"[10,15)","[0,1)","[31,46)",111
1,False,"[10,15)","[0,1)","[46,61)",147
1,False,"[10,15)","[0,1)","[61,76)",32
1,False,"[10,15)","[0,1)","[76,91)",20
1,False,"[10,15)","[0,1)","[91,)",138
1,False,"[10,15)","[0,1)",NULL,201
1,False,"[15,20)","[0,1)","[0,1)",278087
1,False,"[15,20)","[0,1)","[1,2)",48129
1,False,"[15,20)","[0,1)","[2,3)",18342
1,False,"[15,20)","[0,1)","[3,4)",17298
1,False,"[15,20)","[0,1)","[4,5)",8686
1,False,"[15,20)","[0,1)","[5,6)",3941
1,False,"[15,20)","[0,1)","[6,7)",2225
1,False,"[15,20)","[0,1)","[7,8)",1343
1,False,"[15,20)","[0,1)","[8,9)",724
1,False,"[15,20)","[0,1)","[9,10)",559
1,False,"[15,20)","[0,1)","[10,11)",379
1,False,"[15,20)","[0,1)","[11,16)",917
1,False,"[15,20)","[0,1)","[16,21)",299
1,False,"[15,20)","[0,1)","[21,26)",155
1,False,"[15,20)","[0,1)","[26,31)",133
1,False,"[15,20)","[0,1)","[31,46)",134
1,False,"[15,20)","[0,1)","[46,61)",143
1,False,"[15,20)","[0,1)","[61,76)",31
1,False,"[15,20)","[0,1)","[76,91)",16
1,False,"[15,20)","[0,1)","[91,)",157
1,False,"[15,20)","[0,1)",NULL,220
1,False,"[20,25)","[0,1)","[0,1)",233880
1,False,"[20,25)","[0,1)","[1,2)",53080
1,False,"[20,25)","[0,1)","[2,3)",20853
1,False,"[20,25)","[0,1)","[3,4)",19140
1,False,"[20,25)","[0,1)","[4,5)",10226
1,False,"[20,25)","[0,1)","[5,6)",5183
1,False,"[20,25)","[0,1)","[6,7)",2887
1,False,"[20,25)","[0,1)","[7,8)",1661
1,False,"[20,25)","[0,1)","[8,9)",967
1,False,"[20,25)","[0,1)","[9,10)",695
1,False,"[20,25)","[0,1)","[10,11)",453
1,False,"[20,25)","[0,1)","[11,16)",989
1,False,"[20,25)","[0,1)","[16,21)",329
1,False,"[20,25)","[0,1)","[21,26)",209
1,False,"[20,25)","[0,1)","[26,31)",142
1,False,"[20,25)","[0,1)","[31,46)",139
1,False,"[20,25)","[0,1)","[46,61)",152
1,False,"[20,25)","[0,1)","[61,76)",42
1,False,"[20,25)","[0,1)","[76,91)",22
1,False,"[20,25)","[0,1)","[91,)",155
1,False,"[20,25)","[0,1)",NULL,314
1,False,"[25,30)","[0,1)","[0,1)",202942
1,False,"[25,30)","[0,1)","[1,2)",56478
1,False,"[25,30)","[0,1)","[2,3)",21997
1,False,"[25,30)","[0,1)","[3,4)",19182
1,False,"[25,30)","[0,1)","[4,5)",10857
1,False,"[25,30)","[0,1)","[5,6)",6020
1,False,"[25,30)","[0,1)","[6,7)",3401
1,False,"[25,30)","[0,1)","[7,8)",1946
1,False,"[25,30)","[0,1)","[8,9)",1165
1,False,"[25,30)","[0,1)","[9,10)",815
1,False,"[25,30)","[0,1)","[10,11)",472
1,False,"[25,30)","[0,1)","[11,16)",1134
1,False,"[25,30)","[0,1)","[16,21)",387
1,False,"[25,30)","[0,1)","[21,26)",186
1,False,"[25,30)","[0,1)","[26,31)",142
1,False,"[25,30)","[0,1)","[31,46)",163
1,False,"[25,30)","[0,1)","[46,61)",150
1,False,"[25,30)","[0,1)","[61,76)",45
1,False,"[25,30)","[0,1)","[76,91)",29
1,False,"[25,30)","[0,1)","[91,)",168
1,False,"[25,30)","[0,1)",NULL,477
1,False,"[30,45)","[0,1)","[0,1)",455059
1,False,"[30,45)","[0,1)","[1,2)",143342
1,False,"[30,45)","[0,1)","[2,3)",60315
1,False,"[30,45)","[0,1)","[3,4)",50521
1,False,"[30,45)","[0,1)","[4,5)",30706
1,False,"[30,45)","[0,1)","[5,6)",17721
1,False,"[30,45)","[0,1)","[6,7)",9738
1,False,"[30,45)","[0,1)","[7,8)",5975
1,False,"[30,45)","[0,1)","[8,9)",3717
1,False,"[30,45)","[0,1)","[9,10)",2632
1,False,"[30,45)","[0,1)","[10,11)",1579
1,False,"[30,45)","[0,1)","[11,16)",4029
1,False,"[30,45)","[0,1)","[16,21)",1186
1,False,"[30,45)","[0,1)","[21,26)",543
1,False,"[30,45)","[0,1)","[26,31)",436
1,False,"[30,45)","[0,1)","[31,46)",571
1,False,"[30,45)","[0,1)","[46,61)",403
1,False,"[30,45)","[0,1)","[61,76)",113
1,False,"[30,45)","[0,1)","[76,91)",65
1,False,"[30,45)","[0,1)","[91,)",508
1,False,"[30,45)","[0,1)",NULL,766
1,False,"[45,60)","[0,1)","[0,1)",285954
1,False,"[45,60)","[0,1)","[1,2)",78232
1,False,"[45,60)","[0,1)","[2,3)",40455
1,False,"[45,60)","[0,1)","[3,4)",35180
1,False,"[45,60)","[0,1)","[4,5)",21890
1,False,"[45,60)","[0,1)","[5,6)",12265
1,False,"[45,60)","[0,1)","[6,7)",7301
1,False,"[45,60)","[0,1)","[7,8)",4669
1,False,"[45,60)","[0,1)","[8,9)",3050
1,False,"[45,60)","[0,1)","[9,10)",2185
1,False,"[45,60)","[0,1)","[10,11)",1449
1,False,"[45,60)","[0,1)","[11,16)",3423
1,False,"[45,60)","[0,1)","[16,21)",919
1,False,"[45,60)","[0,1)","[21,26)",509
1,False,"[45,60)","[0,1)","[26,31)",316
1,False,"[45,60)","[0,1)","[31,46)",496
1,False,"[45,60)","[0,1)","[46,61)",331
1,False,"[45,60)","[0,1)","[61,76)",78
1,False,"[45,60)","[0,1)","[76,91)",19
1,False,"[45,60)","[0,1)","[91,)",415
1,False,"[45,60)","[0,1)",NULL,421
1,False,"[60,75)","[0,1)","[0,1)",176747
1,False,"[60,75)","[0,1)","[1,2)",40681
1,False,"[60,75)","[0,1)","[2,3)",25809
1,False,"[60,75)","[0,1)","[3,4)",24469
1,False,"[60,75)","[0,1)","[4,5)",14652
1,False,"[60,75)","[0,1)","[5,6)",7989
1,False,"[60,75)","[0,1)","[6,7)",4960
1,False,"[60,75)","[0,1)","[7,8)",3646
1,False,"[60,75)","[0,1)","[8,9)",2193
1,False,"[60,75)","[0,1)","[9,10)",1719
1,False,"[60,75)","[0,1)","[10,11)",1112
1,False,"[60,75)","[0,1)","[11,16)",2563
1,False,"[60,75)","[0,1)","[16,21)",799
1,False,"[60,75)","[0,1)","[21,26)",378
1,False,"[60,75)","[0,1)","[26,31)",273
1,False,"[60,75)","[0,1)","[31,46)",497
1,False,"[60,75)","[0,1)","[46,61)",292
1,False,"[60,75)","[0,1)","[61,76)",26
1,False,"[60,75)","[0,1)","[76,91)",29
1,False,"[60,75)","[0,1)","[91,)",319
1,False,"[60,75)","[0,1)",NULL,307
1,False,"[75,90)","[0,1)","[0,1)",108303
1,False,"[75,90)","[0,1)","[1,2)",25926
1,False,"[75,90)","[0,1)","[2,3)",17898
1,False,"[75,90)","[0,1)","[3,4)",16310
1,False,"[75,90)","[0,1)","[4,5)",10201
1,False,"[75,90)","[0,1)","[5,6)",5879
1,False,"[75,90)","[0,1)","[6,7)",3622
1,False,"[75,90)","[0,1)","[7,8)",2807
1,False,"[75,90)","[0,1)","[8,9)",1617
1,False,"[75,90)","[0,1)","[9,10)",1352
1,False,"[75,90)","[0,1)","[10,11)",875
1,False,"[75,90)","[0,1)","[11,16)",2169
1,False,"[75,90)","[0,1)","[16,21)",570
1,False,"[75,90)","[0,1)","[21,26)",365
1,False,"[75,90)","[0,1)","[26,31)",183
1,False,"[75,90)","[0,1)","[31,46)",382
1,False,"[75,90)","[0,1)","[46,61)",178
1,False,"[75,90)","[0,1)","[61,76)",20
1,False,"[75,90)","[0,1)","[76,91)",16
1,False,"[75,90)","[0,1)","[91,)",152
1,False,"[75,90)","[0,1)",NULL,197
1,False,"[90,120)","[0,1)","[0,1)",98946
1,False,"[90,120)","[0,1)","[1,2)",23223
1,False,"[90,120)","[0,1)","[2,3)",18711
1,False,"[90,120)","[0,1)","[3,4)",16702
1,False,"[90,120)","[0,1)","[4,5)",10901
1,False,"[90,120)","[0,1)","[5,6)",6537
1,False,"[90,120)","[0,1)","[6,7)",3905
1,False,"[90,120)","[0,1)","[7,8)",3594
1,False,"[90,120)","[0,1)","[8,9)",2123
1,False,"[90,120)","[0,1)","[9,10)",1598
1,False,"[90,120)","[0,1)","[10,11)",1080
1,False,"[90,120)","[0,1)","[11,16)",2316
1,False,"[90,120)","[0,1)","[16,21)",661
1,False,"[90,120)","[0,1)","[21,26)",355
1,False,"[90,120)","[0,1)","[26,31)",263
1,False,"[90,120)","[0,1)","[31,46)",343
1,False,"[90,120)","[0,1)","[46,61)",181
1,False,"[90,120)","[0,1)","[61,76)",32
1,False,"[90,120)","[0,1)","[76,91)",51
1,False,"[90,120)","[0,1)","[91,)",142
1,False,"[90,120)","[0,1)",NULL,229
1,False,"[120,150)","[0,1)","[0,1)",29296
1,False,"[120,150)","[0,1)","[1,2)",7442
1,False,"[120,150)","[0,1)","[2,3)",6908
1,False,"[120,150)","[0,1)","[3,4)",5588
1,False,"[120,150)","[0,1)","[4,5)",3372
1,False,"[120,150)","[0,1)","[5,6)",2285
1,False,"[120,150)","[0,1)","[6,7)",1171
1,False,"[120,150)","[0,1)","[7,8)",1079
1,False,"[120,150)","[0,1)","[8,9)",867
1,False,"[120,150)","[0,1)","[9,10)",369
1,False,"[120,150)","[0,1)","[10,11)",419
1,False,"[120,150)","[0,1)","[11,16)",796
1,False,"[120,150)","[0,1)","[16,21)",303
1,False,"[120,150)","[0,1)","[21,26)",91
1,False,"[120,150)","[0,1)","[26,31)",7
1,False,"[120,150)","[0,1)","[31,46)",45
1,False,"[120,150)","[0,1)","[46,61)",38
1,False,"[120,150)","[0,1)","[61,76)",10
1,False,"[120,150)","[0,1)","[76,91)",20
1,False,"[120,150)","[0,1)","[91,)",35
1,False,"[120,150)","[0,1)",NULL,56
1,False,"[150,180)","[0,1)","[0,1)",8537
1,False,"[150,180)","[0,1)","[1,2)",1959
1,False,"[150,180)","[0,1)","[2,3)",2646
1,False,"[150,180)","[0,1)","[3,4)",1078
1,False,"[150,180)","[0,1)","[4,5)",1006
1,False,"[150,180)","[0,1)","[5,6)",722
1,False,"[150,180)","[0,1)","[6,7)",308
1,False,"[150,180)","[0,1)","[7,8)",283
1,False,"[150,180)","[0,1)","[8,9)",162
1,False,"[150,180)","[0,1)","[9,10)",94
1,False,"[150,180)","[0,1)","[10,11)",116
1,False,"[150,180)","[0,1)","[11,16)",178
1,False,"[150,180)","[0,1)","[16,21)",73
1,False,"[150,180)","[0,1)","[21,26)",20
1,False,"[150,180)","[0,1)","[26,31)",1
1,False,"[150,180)","[0,1)","[31,46)",11
1,False,"[150,180)","[0,1)","[91,)",34
1,False,"[150,180)","[0,1)",NULL,18
1,False,"[180,240)","[0,1)","[0,1)",2850
1,False,"[180,240)","[0,1)","[1,2)",857
1,False,"[180,240)","[0,1)","[2,3)",792
1,False,"[180,240)","[0,1)","[3,4)",266
1,False,"[180,240)","[0,1)","[4,5)",280
1,False,"[180,240)","[0,1)","[5,6)",170
1,False,"[180,240)","[0,1)","[6,7)",87
1,False,"[180,240)","[0,1)","[7,8)",83
1,False,"[180,240)","[0,1)","[8,9)",17
1,False,"[180,240)","[0,1)","[9,10)",34
1,False,"[180,240)","[0,1)","[10,11)",20
1,False,"[180,240)","[0,1)","[11,16)",35
1,False,"[180,240)","[0,1)","[16,21)",4
1,False,"[180,240)","[0,1)","[21,26)",5
1,False,"[180,240)","[0,1)","[26,31)",3
1,False,"[180,240)","[0,1)","[31,46)",1
1,False,"[180,240)","[0,1)","[46,61)",3
1,False,"[180,240)","[0,1)","[91,)",12
1,False,"[180,240)","[0,1)",NULL,18
1,False,"[240,300)","[0,1)","[0,1)",601
1,False,"[240,300)","[0,1)","[1,2)",375
1,False,"[240,300)","[0,1)","[2,3)",164
1,False,"[240,300)","[0,1)","[3,4)",89
1,False,"[240,300)","[0,1)","[4,5)",38
1,False,"[240,300)","[0,1)","[5,6)",37
1,False,"[240,300)","[0,1)","[6,7)",16
1,False,"[240,300)","[0,1)","[7,8)",13
1,False,"[240,300)","[0,1)","[8,9)",12
1,False,"[240,300)","[0,1)","[9,10)",17
1,False,"[240,300)","[0,1)","[10,11)",3
1,False,"[240,300)","[0,1)","[11,16)",21
1,False,"[240,300)","[0,1)","[16,21)",12
1,False,"[240,300)","[0,1)","[21,26)",6
1,False,"[240,300)","[0,1)","[26,31)",4
1,False,"[240,300)","[0,1)","[46,61)",3
1,False,"[240,300)","[0,1)","[61,76)",12
1,False,"[240,300)","[0,1)","[76,91)",2
1,False,"[240,300)","[0,1)","[91,)",5
1,False,"[240,300)","[0,1)",NULL,11
1,False,"[300,360)","[0,1)","[0,1)",263
1,False,"[300,360)","[0,1)","[1,2)",90
1,False,"[300,360)","[0,1)","[2,3)",106
1,False,"[300,360)","[0,1)","[3,4)",38
1,False,"[300,360)","[0,1)","[4,5)",29
1,False,"[300,360)","[0,1)","[5,6)",20
1,False,"[300,360)","[0,1)","[6,7)",10
1,False,"[300,360)","[0,1)","[7,8)",24
1,False,"[300,360)","[0,1)","[8,9)",23
1,False,"[300,360)","[0,1)","[9,10)",5
1,False,"[300,360)","[0,1)","[10,11)",1
1,False,"[300,360)","[0,1)","[11,16)",15
1,False,"[300,360)","[0,1)","[16,21)",2
1,False,"[300,360)","[0,1)","[21,26)",5
1,False,"[300,360)","[0,1)","[26,31)",1
1,False,"[300,360)","[0,1)","[31,46)",1
1,False,"[300,360)","[0,1)","[46,61)",1
1,False,"[300,360)","[0,1)",NULL,9
1,False,"[360,)","[0,1)","[0,1)",357
1,False,"[360,)","[0,1)","[1,2)",112
1,False,"[360,)","[0,1)","[2,3)",74
1,False,"[360,)","[0,1)","[3,4)",38
1,False,"[360,)","[0,1)","[4,5)",24
1,False,"[360,)","[0,1)","[5,6)",32
1,False,"[360,)","[0,1)","[6,7)",33
1,False,"[360,)","[0,1)","[7,8)",13
1,False,"[360,)","[0,1)","[8,9)",20
1,False,"[360,)","[0,1)","[9,10)",16
1,False,"[360,)","[0,1)","[10,11)",217
1,False,"[360,)","[0,1)","[11,16)",11
1,False,"[360,)","[0,1)","[16,21)",4
1,False,"[360,)","[0,1)","[21,26)",7
1,False,"[360,)","[0,1)","[26,31)",2
1,False,"[360,)","[0,1)","[31,46)",4
1,False,"[360,)","[0,1)",NULL,7
1,False,"[-15,-10)","[1,2)","[0,1)",216
1,False,"[-10,-5)","[1,2)","[-1,0)",9
1,False,"[-10,-5)","[1,2)","[0,1)",482
1,False,"[-10,-5)","[1,2)","[1,2)",5
1,False,"[-10,-5)","[1,2)","[31,46)",1
1,False,"[-5,0)","[1,2)","[-1,0)",42
1,False,"[-5,0)","[1,2)","[0,1)",560
1,False,"[-5,0)","[1,2)","[1,2)",10
1,False,"[-5,0)","[1,2)","[2,3)",1
1,False,"[-5,0)","[1,2)","[3,4)",11
1,False,"[-5,0)","[1,2)","[4,5)",10
1,False,"[-5,0)","[1,2)","[91,)",1
1,False,"[0,5)","[1,2)","[-1,0)",2619
1,False,"[0,5)","[1,2)","[0,1)",38216
1,False,"[0,5)","[1,2)","[1,2)",4537
1,False,"[0,5)","[1,2)","[2,3)",1597
1,False,"[0,5)","[1,2)","[3,4)",1144
1,False,"[0,5)","[1,2)","[4,5)",613
1,False,"[0,5)","[1,2)","[5,6)",120
1,False,"[0,5)","[1,2)","[6,7)",81
1,False,"[0,5)","[1,2)","[7,8)",52
1,False,"[0,5)","[1,2)","[8,9)",34
1,False,"[0,5)","[1,2)","[9,10)",24
1,False,"[0,5)","[1,2)","[10,11)",8
1,False,"[0,5)","[1,2)","[11,16)",33
1,False,"[0,5)","[1,2)","[16,21)",20
1,False,"[0,5)","[1,2)","[21,26)",16
1,False,"[0,5)","[1,2)","[26,31)",6
1,False,"[0,5)","[1,2)","[31,46)",25
1,False,"[0,5)","[1,2)","[46,61)",26
1,False,"[0,5)","[1,2)","[61,76)",3
1,False,"[0,5)","[1,2)","[91,)",24
1,False,"[0,5)","[1,2)",NULL,3
1,False,"[5,10)","[1,2)","[-1,0)",12475
1,False,"[5,10)","[1,2)","[0,1)",60116
1,False,"[5,10)","[1,2)","[1,2)",7915
1,False,"[5,10)","[1,2)","[2,3)",3580
1,False,"[5,10)","[1,2)","[3,4)",2756
1,False,"[5,10)","[1,2)","[4,5)",1669
1,False,"[5,10)","[1,2)","[5,6)",352
1,False,"[5,10)","[1,2)","[6,7)",187
1,False,"[5,10)","[1,2)","[7,8)",162
1,False,"[5,10)","[1,2)","[8,9)",69
1,False,"[5,10)","[1,2)","[9,10)",73
1,False,"[5,10)","[1,2)","[10,11)",20
1,False,"[5,10)","[1,2)","[11,16)",65
1,False,"[5,10)","[1,2)","[16,21)",36
1,False,"[5,10)","[1,2)","[21,26)",21
1,False,"[5,10)","[1,2)","[26,31)",10
1,False,"[5,10)","[1,2)","[31,46)",21
1,False,"[5,10)","[1,2)","[46,61)",39
1,False,"[5,10)","[1,2)","[61,76)",7
1,False,"[5,10)","[1,2)","[76,91)",2
1,False,"[5,10)","[1,2)","[91,)",34
1,False,"[5,10)","[1,2)",NULL,25
1,False,"[10,15)","[1,2)","[-1,0)",15130
1,False,"[10,15)","[1,2)","[0,1)",64204
1,False,"[10,15)","[1,2)","[1,2)",8249
1,False,"[10,15)","[1,2)","[2,3)",3996
1,False,"[10,15)","[1,2)","[3,4)",3695
1,False,"[10,15)","[1,2)","[4,5)",2541
1,False,"[10,15)","[1,2)","[5,6)",660
1,False,"[10,15)","[1,2)","[6,7)",410
1,False,"[10,15)","[1,2)","[7,8)",302
1,False,"[10,15)","[1,2)","[8,9)",133
1,False,"[10,15)","[1,2)","[9,10)",102
1,False,"[10,15)","[1,2)","[10,11)",48
1,False,"[10,15)","[1,2)","[11,16)",104
1,False,"[10,15)","[1,2)","[16,21)",59
1,False,"[10,15)","[1,2)","[21,26)",24
1,False,"[10,15)","[1,2)","[26,31)",26
1,False,"[10,15)","[1,2)","[31,46)",36
1,False,"[10,15)","[1,2)","[46,61)",28
1,False,"[10,15)","[1,2)","[61,76)",4
1,False,"[10,15)","[1,2)","[76,91)",1
1,False,"[10,15)","[1,2)","[91,)",49
1,False,"[10,15)","[1,2)",NULL,29
1,False,"[15,20)","[1,2)","[-1,0)",15046
1,False,"[15,20)","[1,2)","[0,1)",44019
1,False,"[15,20)","[1,2)","[1,2)",7105
1,False,"[15,20)","[1,2)","[2,3)",3987
1,False,"[15,20)","[1,2)","[3,4)",3550
1,False,"[15,20)","[1,2)","[4,5)",2438
1,False,"[15,20)","[1,2)","[5,6)",764
1,False,"[15,20)","[1,2)","[6,7)",477
1,False,"[15,20)","[1,2)","[7,8)",324
1,False,"[15,20)","[1,2)","[8,9)",154
1,False,"[15,20)","[1,2)","[9,10)",97
1,False,"[15,20)","[1,2)","[10,11)",58
1,False,"[15,20)","[1,2)","[11,16)",152
1,False,"[15,20)","[1,2)","[16,21)",48
1,False,"[15,20)","[1,2)","[21,26)",28
1,False,"[15,20)","[1,2)","[26,31)",27
1,False,"[15,20)","[1,2)","[31,46)",40
1,False,"[15,20)","[1,2)","[46,61)",28
1,False,"[15,20)","[1,2)","[61,76)",1
1,False,"[15,20)","[1,2)","[91,)",46
1,False,"[15,20)","[1,2)",NULL,32
1,False,"[20,25)","[1,2)","[-1,0)",13348
1,False,"[20,25)","[1,2)","[0,1)",28986
1,False,"[20,25)","[1,2)","[1,2)",6233
1,False,"[20,25)","[1,2)","[2,3)",3727
1,False,"[20,25)","[1,2)","[3,4)",3341
1,False,"[20,25)","[1,2)","[4,5)",2263
1,False,"[20,25)","[1,2)","[5,6)",866
1,False,"[20,25)","[1,2)","[6,7)",561
1,False,"[20,25)","[1,2)","[7,8)",419
1,False,"[20,25)","[1,2)","[8,9)",192
1,False,"[20,25)","[1,2)","[9,10)",129
1,False,"[20,25)","[1,2)","[10,11)",69
1,False,"[20,25)","[1,2)","[11,16)",188
1,False,"[20,25)","[1,2)","[16,21)",53
1,False,"[20,25)","[1,2)","[21,26)",39
1,False,"[20,25)","[1,2)","[26,31)",25
1,False,"[20,25)","[1,2)","[31,46)",31
1,False,"[20,25)","[1,2)","[46,61)",42
1,False,"[20,25)","[1,2)","[61,76)",1
1,False,"[20,25)","[1,2)","[76,91)",1
1,False,"[20,25)","[1,2)","[91,)",49
1,False,"[20,25)","[1,2)",NULL,15
1,False,"[25,30)","[1,2)","[-1,0)",10460
1,False,"[25,30)","[1,2)","[0,1)",19262
1,False,"[25,30)","[1,2)","[1,2)",4987
1,False,"[25,30)","[1,2)","[2,3)",3079
1,False,"[25,30)","[1,2)","[3,4)",2793
1,False,"[25,30)","[1,2)","[4,5)",1929
1,False,"[25,30)","[1,2)","[5,6)",819
1,False,"[25,30)","[1,2)","[6,7)",565
1,False,"[25,30)","[1,2)","[7,8)",428
1,False,"[25,30)","[1,2)","[8,9)",230
1,False,"[25,30)","[1,2)","[9,10)",108
1,False,"[25,30)","[1,2)","[10,11)",70
1,False,"[25,30)","[1,2)","[11,16)",221
1,False,"[25,30)","[1,2)","[16,21)",73
1,False,"[25,30)","[1,2)","[21,26)",44
1,False,"[25,30)","[1,2)","[26,31)",32
1,False,"[25,30)","[1,2)","[31,46)",24
1,False,"[25,30)","[1,2)","[46,61)",33
1,False,"[25,30)","[1,2)","[61,76)",6
1,False,"[25,30)","[1,2)","[76,91)",3
1,False,"[25,30)","[1,2)","[91,)",29
1,False,"[25,30)","[1,2)",NULL,25
1,False,"[30,45)","[1,2)","[-1,0)",17384
1,False,"[30,45)","[1,2)","[0,1)",25478
1,False,"[30,45)","[1,2)","[1,2)",8309
1,False,"[30,45)","[1,2)","[2,3)",5127
1,False,"[30,45)","[1,2)","[3,4)",4203
1,False,"[30,45)","[1,2)","[4,5)",3139
1,False,"[30,45)","[1,2)","[5,6)",1576
1,False,"[30,45)","[1,2)","[6,7)",961
1,False,"[30,45)","[1,2)","[7,8)",745
1,False,"[30,45)","[1,2)","[8,9)",531
1,False,"[30,45)","[1,2)","[9,10)",251
1,False,"[30,45)","[1,2)","[10,11)",172
1,False,"[30,45)","[1,2)","[11,16)",469
1,False,"[30,45)","[1,2)","[16,21)",208
1,False,"[30,45)","[1,2)","[21,26)",123
1,False,"[30,45)","[1,2)","[26,31)",40
1,False,"[30,45)","[1,2)","[31,46)",46
1,False,"[30,45)","[1,2)","[46,61)",49
1,False,"[30,45)","[1,2)","[61,76)",8
1,False,"[30,45)","[1,2)","[76,91)",10
1,False,"[30,45)","[1,2)","[91,)",34
1,False,"[30,45)","[1,2)",NULL,69
1,False,"[45,60)","[1,2)","[-1,0)",6466
1,False,"[45,60)","[1,2)","[0,1)",9071
1,False,"[45,60)","[1,2)","[1,2)",3768
1,False,"[45,60)","[1,2)","[2,3)",2395
1,False,"[45,60)","[1,2)","[3,4)",1658
1,False,"[45,60)","[1,2)","[4,5)",1227
1,False,"[45,60)","[1,2)","[5,6)",853
1,False,"[45,60)","[1,2)","[6,7)",397
1,False,"[45,60)","[1,2)","[7,8)",323
1,False,"[45,60)","[1,2)","[8,9)",187
1,False,"[45,60)","[1,2)","[9,10)",188
1,False,"[45,60)","[1,2)","[10,11)",144
1,False,"[45,60)","[1,2)","[11,16)",204
1,False,"[45,60)","[1,2)","[16,21)",108
1,False,"[45,60)","[1,2)","[21,26)",78
1,False,"[45,60)","[1,2)","[26,31)",18
1,False,"[45,60)","[1,2)","[31,46)",41
1,False,"[45,60)","[1,2)","[46,61)",17
1,False,"[45,60)","[1,2)","[61,76)",4
